sector.id,sector.parent,sector.name,sector.labelOtro
1,0,Agrícola,
2,0,Forestal y Papelero,
3,0,Pesca y acuicultura,
4,0,Minería,
5,0,Bebidas y alimentos,
6,0,Metalúrgico y Siderúrgico,
7,0,Textil,
8,0,Petroquímico,
9,0,Cementeras,
10,0,Industrias químicas,
11,0,Energía,
12,0,Combustibles,
13,0,Construcción,
14,0,Transportes,
15,0,Industria naviera,
16,0,Telecomunicaciones,
17,0,Retail,
18,0,Automotriz,
19,0,Turístico y Hotelero,
20,0,Salud,
21,0,Seguridad social,
22,0,Educación,
23,0,Bancos y entidades financiera,
24,0,Comercio internacional,
25,0,Defensa,
26,0,Tabaco,
27,0,Publicidad,
28,0,Medios de comunicación,
29,0,Consultoras,
30,0,Sociedades deportivas,
31,0,Cultura y entretención,
32,0,Tecnología,
33,0,Sanitario,
34,90,Hípica,
35,0,Diversificado,
36,1,Vitivinícola,
37,1,Ganadero,
38,1,Agroindustrial,
39,3,Salmonero,
40,14,Aerolíneas (Aéreo),
41,14,Transporte terrestre,
42,14,Transporte marítimo de pasajeros,
43,17,Supermercados,
44,17,Farmacias,
45,17,Tiendas por departamento,
46,17,Hogar y construcción,
47,20,Clínicas,
48,20,Laboratorios,
49,21,Isapres,
50,21,AFP,
51,21,Caja de Compensación,
52,21,Compañía de seguros,
53,22,Educación primaria,
54,22,Educación secundaria,
55,22,Educación superior,
56,23,Bancos,
57,23,Financieras,
58,23,Tarjetas de créditos,
59,23, Seguros,
60,24,Importación,
61,24,Exportación,
62,1,Cultivos,
63,0,Silvicultura,
64,63,Bosques,
65,63,Viveros,
66,18,Automotoras,
67,18,Fabricación y reparación de vehículos,
68,23,Factoring,
69,23,Administración de fondos de inversión,
70,23,Sociedades de inversión y rentistas,
71,23,Corredores de bolsa,
72,23,Agentes de Valores,
73,29,Lobby,
74,29,Asesoras y consultoras medioambientales,
75,29,Negocios y marketing,
76,29,Consultoras de ingeniería,
77,29,Auditoría,
78,13,Constructoras,
79,13,Obras de ingeniería,
80,13,Equipos de construcción,
81,31,Cine,
82,31,Teatro,
83,31,Bibliotecas y archivos,
84,31,Museos y edificos históricos,
85,31,Productoras de cine y tv,
86,31,Productoras de eventos,
87,31,Parques de atracciones,
88,31,Jardines botánicos, zoológicos y parques nacionales,
89,31,Casinos de juego,
90,0,Deportes,
91,90,Fútbol,
92,90,Automovilismo,
93,90,Tenis,
94,90,Polideportes,
95,90,Gimnasios y escuelas deportivas,
96,22,Educación preescolar,
97,11,Generación y distribución de energía ,
98,11,Combustibles,
99,0,Infraestructura,
100,99,Aeropuertos y aeródromos,
101,99,Puertos,
102,99,Autopistas,
103,0,Inmobiliario,
104,103,Inmobiliarias,
105,103,Corredores de propiedades,
106,103,Cementerios y/o Servicios funerarios,
107,0,Legal - servicios jurídicos,
108,107,Estudios de abogados,
109,107,Notarías,
110,107,Conservador de bienes raíces,
111,28,Televisión,
112,28,Radio,
113,28,Diarios y revistas,
114,28,Medios digitales,
115,4,Minas y canteras,
116,4,Petróleo,
117,3,Pesqueras,
118,27,Agencias de publicidad,
119,27,Servicios personales de publicidad,
120,17,Tiendas minoristas,
121,20,Hospitales,
122,20,Centros médicos,
123,14,Industria naviera,
124,19,Agencias de viajes,
125,19,Agencias de turismo,
126,19,Hoteles,
127,19,Restaurantes y bares,
128,19,Establecimientos de comida rápida,
129,19,Banquetes y bodas,
130,19,Casinos de comida,
131,0,Servicios ambientales,
132,131,Vertederos,
133,131,Recogida y eliminación de desechos,
134,131,Evacuación y/o tratamiento de riles y aguas servidas,
135,0,Gobierno,
136,0,No Gubernamental,
